text,item_id,user_who_published,user_id,ranking,rating,like_count,retweet_count,reply_count,quote_count,algorithm,date
"P.S. - Follow the @AWMHFoundation to be the first to know when a new auction begins, and be sure to keep an eye out on the first Tuesday of every month!",1347619092417548288,238475531,79.0,5.0,5.0,421,31,8,0,SCSA-SCSA_PLUS,2023-08-19
"Tonight at 8pm ET, Eddie will perform at the 34th Annual Benefit Concert for @TibetHouseUS with @PhilipGlass, @Phoebe_Bridgers, @BlkfootWhtfoot, &amp; more.

Last chance for tickets to this virtual event: https://t.co/BEW7AiQFrQ https://t.co/AXDaV1VUZO",1362069293790162946,15155074,79.0,6.0,5.0,276,40,4,1,SCSA-SCSA_PLUS,2023-08-19
"Watch us perform songs off of the debut album, A Magnificent Day For An Exorcism, in this special @tidal session.

You can catch the live #session in the @tidal app and on our YouTube page. Link in bio!

@channelth1rt3en is @pharoahemonch @Marcus__Machado &amp; @darujones. https://t.co/NcxHgMGaqG",1366115959623331844,55365711,79.0,7.0,5.0,173,54,4,5,SCSA-SCSA_PLUS,2023-08-19
@Tim_Burgess Thanks for having us!,1360346403873181707,19114743,79.0,8.0,4.0,203,6,17,0,SCSA-SCSA_PLUS,2023-08-19
Shout out to @tidal We back at it with another live performance. A Magnificent Day For An Exorcism @ChannelTh1rt3en is @Marcus__Machado @darujones &amp; @pharoahemonch Watch th1rt3en rock this @TIDAL #SESSION in the app today! ???????? https://t.co/6cOD9ZE484 https://t.co/QeGQ8UdRE9,1364624807220948994,55365711,79.0,9.0,5.0,58,19,1,2,SCSA-SCSA_PLUS,2023-08-19
@CHINOXL @ImmortalTech Legends salute! Happy birthday @ImmortalTech,1362872757109809152,55365711,79.0,10.0,4.0,19,3,1,0,SCSA-SCSA_PLUS,2023-08-19
https://t.co/CqzHNipGWa,1095067826061262848,19028953,79.0,1.0,5.0,202548,97947,1005,5203,SC-SCSA_PLUS,2023-08-19
We may not agree with each other but we gotta be gentle with each other.  ✌?,1273231711908872193,19028953,79.0,2.0,4.0,106021,29231,1202,3614,SC-SCSA_PLUS,2023-08-19
@JIDsv @Bas @EarthGang What the fuckkkkkkkkkkkkk. ???????,1182112257708306433,19028953,79.0,3.0,5.0,8728,916,118,38,SC-SCSA_PLUS,2023-08-19
"I remember being nervous &amp; concerned about what I should wear. After much deliberation, I settled on a t-shirt &amp; oversized green pants. The black Project 86 t-shirt I would wear today if I still had it, but the choice in pants gets me teased by my daughters ? @phoenixlp https://t.co/ZQW3Wku6OM",1350483251291451392,19373710,79.0,4.0,5.0,1314,120,25,12,SC-SCSA_PLUS,2023-08-19
Excited to join @Lin_Manuel &amp; Georgia's own @WayneBrady for an arts &amp; activism event to #GetOutTheVote for the #Georgia runoff elections. Join us on Dec 16 at 5:30pm PT with a $10 donation to support the work of @LCFGeorgia @HispanicFed &amp; @LatinoVictoryUS! https://t.co/U56mO1zfOs https://t.co/Su6wrFUuCc,1336059119174897665,15155074,79.0,5.0,5.0,411,43,16,15,SC-SCSA_PLUS,2023-08-19
"A Magnificent Dave For An Exorcism.

th1rt3en is @Marcus__Machado @darujones @pharoahemonch

@davechappelle @channelth1rt3en ?@candytman https://t.co/YPDm5DGEkj",1366561763962073092,55365711,79.0,6.0,5.0,256,49,6,4,SC-SCSA_PLUS,2023-08-19
This just in: @MikeMcCreadyPJ and Eddie will be dialing into @PJRadio's Faithfull Forum on @SiriusXM. Call 1-855-9-PEARLJAM to join the conversation at 5pm ET.,1359597695548153864,15155074,79.0,7.0,3.0,102,10,5,1,SC-SCSA_PLUS,2023-08-19
@Tim_Burgess @robbiesbrewery Enjoy  ?,1365320876510560258,19114743,79.0,8.0,4.0,74,0,5,0,SC-SCSA_PLUS,2023-08-19
@ChuckDizzle @DJRTistic Put it together ??,1338584496489172992,3004231,79.0,9.0,4.0,25,4,8,2,SC-SCSA_PLUS,2023-08-19
@fromthedeskoflo @TIDAL @ChannelTh1rt3en @darujones @Marcus__Machado ??,1364683920965578753,55365711,79.0,10.0,4.0,2,0,0,0,SC-SCSA_PLUS,2023-08-19
SCARY HOURS https://t.co/kDM7vuuq5e https://t.co/8Z43SdI5w7,1367702233853259783,27195114,79.0,1.0,2.0,153747,39505,1918,5026,CS-SCSA_PLUS,2023-08-19
"?This is my boy, ?he don’t care about nothing right now. he got a good life man! https://t.co/9AXOsp6RDF",1355379018791591936,18222378,79.0,2.0,3.0,10911,350,400,38,CS-SCSA_PLUS,2023-08-19
Synyster Gates has been named one of the 20 best guitarists of the decade by @GuitarWorld: https://t.co/2ouq802DkA https://t.co/MWJMQFYTwV,1212045448812417030,89366493,79.0,3.0,5.0,5523,1234,116,230,CS-SCSA_PLUS,2023-08-19
Here are some long lost interview outtakes from the Hybrid Theory days #HybridTheory20 https://t.co/730oDpV1Qy https://t.co/woJgFzxerN,1319321276171759617,19373710,79.0,4.0,3.0,5060,784,79,138,CS-SCSA_PLUS,2023-08-19
Mask Up with the exclusive GN’R face coverings https://t.co/wH8tIEuRqO https://t.co/q4zrgg8Yfw,1322265461359316992,95955871,79.0,5.0,2.0,2734,283,115,144,CS-SCSA_PLUS,2023-08-19
17. Who still has their original merch from 2003? #TakeALookInTheMirror https://t.co/1iIVn89rck,1330266160202477577,6207392,79.0,6.0,3.0,2185,158,101,27,CS-SCSA_PLUS,2023-08-19
"Today we mark the release of Syd Barrett's album, The Madcap Laughs. What's your favourite song on this?

https://t.co/NFwC5V4gEW",1345783947607867393,314792669,79.0,7.0,2.0,1659,218,94,42,CS-SCSA_PLUS,2023-08-19
"⚠️ TUNE IN NOW ⚠️ Watch the broadcast from @Lollapalooza 2006 now!

#RHCP #Lolla #StayHome
https://t.co/L8CK03LrOy",1263620338790944769,297047872,79.0,8.0,3.0,845,216,26,72,CS-SCSA_PLUS,2023-08-19
when its so crazy you cant even watch ? see what goes down on @GoBigShowTBS tomorrow night 9/8c ! #GoBigShow https://t.co/I8xS7BqQUT,1357083144407552000,3004231,79.0,9.0,5.0,882,62,76,8,CS-SCSA_PLUS,2023-08-19
For more info and to contact support visit https://t.co/eKokan7BrB,1324444938923175936,19373710,79.0,10.0,2.0,513,40,1,1,CS-SCSA_PLUS,2023-08-19
GO PACK GO!!!!!,1324424895749652481,116362700,79.0,1.0,3.0,16460,1508,1242,458,B1-SCSA_PLUS,2023-08-19
"Happy birthday, Eddie!

?: Karen Loria https://t.co/mRHDzQDYPB",1341790679945670656,15155074,79.0,2.0,5.0,14175,2293,328,469,B1-SCSA_PLUS,2023-08-19
Have you seen our 360 Virtual Pop Up store yet? Join the experience + get exclusive items here: https://t.co/ZAjFrJxdqa https://t.co/jP41j4wQDf,1292597118763319296,108361327,79.0,3.0,5.0,1399,182,11,4,B1-SCSA_PLUS,2023-08-19
Groovin into tonights episode of #GoBigShow dont miss it ! https://t.co/oQlEAnY2N3,1360011987493789696,3004231,79.0,4.0,2.0,1295,136,123,15,B1-SCSA_PLUS,2023-08-19
it’s lit tonight 10pm ?ABC ?FOR LIFE  returns check me out. #bransoncognac #lecheminduroi  #bottlerover @ForLife_ABC https://t.co/0gwJqLr77y,1354523590742446080,18222378,79.0,5.0,3.0,633,75,31,7,B1-SCSA_PLUS,2023-08-19
"Are you joining us for the Elevation Watch Party? Tweet along with us using #ATYCLB
https://t.co/g0i4z2B00C",1322229311718494210,18847632,79.0,6.0,3.0,584,74,63,21,B1-SCSA_PLUS,2023-08-19
even the judges can have some fun too ?  tune in for more crazy talent on tonights episode of @gobigshowtbs at 9/8c ! #GoBigShow https://t.co/fX6zDJ8ggV,1365017631321858052,3004231,79.0,7.0,2.0,555,48,51,3,B1-SCSA_PLUS,2023-08-19
"Only a few episodes left until the Season Finale of ABC's Number 1 Show, FOR LIFE! Get your FOR LIFE Shirt &amp; Hat today! - https://t.co/0D1SITOSot

#ForLife https://t.co/ldH7FdKuay",1361735737411067909,18222378,79.0,8.0,4.0,521,54,54,4,B1-SCSA_PLUS,2023-08-19
"It’s time. ?
#RapLifeLive captured at @HowardU starts now.
Watch on @AppleMusic: https://t.co/5SkAatZCJf https://t.co/weaaTIzace",1307137727067029506,96829836,79.0,9.0,2.0,453,84,60,5,B1-SCSA_PLUS,2023-08-19
#FreeMichonne https://t.co/qM5PK2IBVJ,1362841895030968326,55365711,79.0,10.0,4.0,28,4,1,0,B1-SCSA_PLUS,2023-08-19
@RangersFC Congratulations from all of us at #LFC to Steven Gerrard and his team on winning the Scottish Premier League title,1368561200754270210,19583545,78.0,1.0,4.0,33593,4483,439,419,SCSA-SCSA_PLUS,2023-08-19
"Total Team Effort #LakeShow

@KingJames: 19 pts, 6 reb, 2 blk
@Keefmorris: 13 pts, 8 reb, 4 ast
@ACFresh21: 13 pts, 4 reb, 4 ast
@kylekuzma: 12 pts, 11 reb
Dennis Schröder: 12 pts, 6 ast
@Thortontucker: 11 pts https://t.co/VmMiLXCtKZ",1366232555037462531,20346956,78.0,2.0,4.0,13744,2796,213,532,SCSA-SCSA_PLUS,2023-08-19
@TheNotoriousMMA @joerogan Its legal in @ONEChampionship,1319343716801236992,140845817,78.0,3.0,2.0,1455,49,26,6,SCSA-SCSA_PLUS,2023-08-19
"To commemorate this partnership, Matisse teamed up with @glossblack to design a mural in Fishtown. ? https://t.co/kFLcCGKBB9",1367531774012751878,16201775,78.0,4.0,1.0,437,43,5,10,SCSA-SCSA_PLUS,2023-08-19
"Alongside our wine &amp; gold, the 3 stars represent the 3 times NBA All-Star festivities were held in Cleveland - 1981, 1997 &amp; now, 2022. The star icon is completed by the Terminal Tower; a landmark that has been at the epicenter of Cleveland’s downtown since its opening in 1928.",1368933410085945345,19263978,78.0,5.0,1.0,317,21,4,1,SCSA-SCSA_PLUS,2023-08-19
@Morales7Leo @EASPORTSUFC @ufc It was pretty clean,1326736922199257089,140845817,78.0,6.0,1.0,124,0,2,0,SCSA-SCSA_PLUS,2023-08-19
"@ReyesTheR00f @MichaelRapaport @ColbyCovMMA @NBA @MLB @KingJames @USMAN84kg I wasn’t commenting on colby’s post but thought it was funny how aggressive the response from an actor to a fighter was A and B I’ve been a construction worker, landscaper, roofer, bartender, security I worked plenty of jobs prior to making it as a fighter have a nice day",1345510484213075968,65468720,78.0,7.0,1.0,3,3,1,0,SCSA-SCSA_PLUS,2023-08-19
@McNuttMonica @Kazeem It’s always love ??,1368584215403655171,20265254,78.0,8.0,1.0,19,1,1,0,SCSA-SCSA_PLUS,2023-08-19
@nbacares @NBA @tmcf_hbcu @UNCF Let’s get it Zach!,1367649223601238016,16212685,78.0,9.0,2.0,14,2,0,0,SCSA-SCSA_PLUS,2023-08-19
@DrDoumbouya @Cheurlin1788 It's a whole vibe for sure. ??,1367170047081402380,16727749,78.0,10.0,1.0,2,0,0,0,SCSA-SCSA_PLUS,2023-08-19
"⚡️ Nicolas Pepe
?? @CaitlinFoord
? @Aubameyang7
? @HectorBellerin
??????? @KieranTierney1
?? @Katie_McCabe11
? @DavidLuiz_4

February Goal of the Month ?",1367113993815547906,34613288,78.0,1.0,2.0,7865,644,295,98,SC-SCSA_PLUS,2023-08-19
"? Hello, Estadi Johan Cruyff! https://t.co/OHtmopLePj",1368909409775149064,96951800,78.0,2.0,1.0,5170,155,12,1,SC-SCSA_PLUS,2023-08-19
https://t.co/SqnayQRQKW,1368245651046207493,20346956,78.0,3.0,3.0,2620,376,24,65,SC-SCSA_PLUS,2023-08-19
"@NBAUK @dallasmavs @LacazetteAlex Represent, @J_Rich1! ?",1367462925250818061,34613288,78.0,4.0,1.0,792,26,3,1,SC-SCSA_PLUS,2023-08-19
@ArsenalWFC @CaitlinFoord @BarclaysFAWSL ?,1368580185642110982,34613288,78.0,5.0,2.0,558,20,11,0,SC-SCSA_PLUS,2023-08-19
"@vinijr @isco_alarcon @RodrygoGoes @marcoasensio10 @hugoduro14 ↔ @marianodiaz7

#HankookTire https://t.co/mj9LuDPgzu",1366499073671454725,452155423,78.0,6.0,2.0,295,22,8,2,SC-SCSA_PLUS,2023-08-19
"?? That's all from our #JuveFCP presser!

? More #JuveUCL build-up to follow ⭐️⚪️⚫️",1368932010971004931,1638021792,78.0,7.0,2.0,108,4,1,0,SC-SCSA_PLUS,2023-08-19
@MichaelRapaport @ColbyCovMMA @NBA @MLB @KingJames @USMAN84kg Easy key board warrior. You don’t want to get your panties in a bunch ?,1303249708169613313,65468720,78.0,8.0,1.0,70,10,8,0,SC-SCSA_PLUS,2023-08-19
@Matt51320665 @TheNotoriousMMA @joerogan @ONEChampionship If khabib would of kneed him I would say it legal in @ONEChampionship maybe you should read the full context before making a statement.,1319402828285108225,140845817,78.0,9.0,2.0,25,1,0,0,SC-SCSA_PLUS,2023-08-19
@Gabry4K @mistermv @PixelSword94 @Neweegee @zaebucca Amazing,1324374402750767104,140845817,78.0,10.0,1.0,14,0,1,1,SC-SCSA_PLUS,2023-08-19
Right back at it. It's Game Day. https://t.co/GT3Qs5atGr,1367172928295628802,20346956,78.0,1.0,1.0,7256,670,100,61,CS-SCSA_PLUS,2023-08-19
Catch him at THE RIM. https://t.co/HbsNQSvfX8,1367327155667935236,20346956,78.0,2.0,1.0,6113,250,48,20,CS-SCSA_PLUS,2023-08-19
Next stop: ATL ? https://t.co/YZlen7p5xy,1368218004861911049,16212685,78.0,3.0,1.0,4253,261,18,17,CS-SCSA_PLUS,2023-08-19
"The foul + the bucket.

@thortontucker and the #LakeShow are back at it tonight ?? https://t.co/1GyBnQVJbW",1366848285361717252,20346956,78.0,4.0,2.0,3038,268,37,21,CS-SCSA_PLUS,2023-08-19
"COME ON CHELSEA! ✊

? 0-0 ? [1'] #CHEEVE https://t.co/fCKSW9pA2H",1368984926410989569,22910295,78.0,5.0,1.0,1927,270,71,23,CS-SCSA_PLUS,2023-08-19
.@TrentAA admitted the Reds could have no complaints about the defeat inflicted by Chelsea and stressed the need to get back on track immediately.,1367616598727614473,19583545,78.0,6.0,2.0,1789,149,312,60,CS-SCSA_PLUS,2023-08-19
https://t.co/4H4Dfi2UOW,1366967661754675207,20346956,78.0,7.0,4.0,891,126,9,5,CS-SCSA_PLUS,2023-08-19
"All-Star throwback! ?

#TBT | #ProudHistoryBrightFuture https://t.co/EWWFMk7pKm",1367535310733680640,19077044,78.0,8.0,2.0,659,48,1,2,CS-SCSA_PLUS,2023-08-19
Oladipo ➡️ Wall ? https://t.co/muAU3Mnfbk,1367296657705099264,19077044,78.0,9.0,3.0,134,12,10,1,CS-SCSA_PLUS,2023-08-19
"? Jordán, @olitorres10 and @AcunaMarcos17 come on for @ivanrakitic, @Munirhaddadi and @SerEscudero89.

@Elchecf_en 0-0 #SevillaFC (57')

#WeareSevilla | #ElcheSevillaFC https://t.co/qPQawl2weY",1368236771671162881,2941994339,78.0,10.0,1.0,6,0,0,0,CS-SCSA_PLUS,2023-08-19
"Happy Birthday @SHAQ!

Since everyone wants to discuss how you'd look in today's game we figured a hairswap with one of our young bigs would be a fun start ?

Fresh Faces // @HairClub https://t.co/wbcT45KlCJ",1368204280629444611,11026952,78.0,1.0,1.0,2828,277,37,27,B1-SCSA_PLUS,2023-08-19
"Tonight's threads ?

#NBAAllStar https://t.co/iVoitQcOLF",1368686691452608517,20265254,78.0,2.0,1.0,1692,195,24,25,B1-SCSA_PLUS,2023-08-19
"It’s gonna’ be a yes from @_Alvo_.

(?: @SpectrumSN) https://t.co/uDlU202s1Z",1367339191961489408,20346956,78.0,3.0,3.0,1411,153,45,11,B1-SCSA_PLUS,2023-08-19
"2️⃣ triple-doubles tonight ‼️‼️

@masonplumlee &amp; @Dennis1SmithJr https://t.co/kWWEsGjBeP",1367318893191196674,16727749,78.0,4.0,1.0,574,77,10,15,B1-SCSA_PLUS,2023-08-19
"#LakeShow ? #SacramentoProud

?: @SpectrumSN
?: 710 ESPN &amp; 1330 Tu Liga

https://t.co/wkJMBQZYln",1367307559640571904,20346956,78.0,5.0,1.0,487,58,14,3,B1-SCSA_PLUS,2023-08-19
"Thank you, @mikescott. https://t.co/zIOgRIWcNp",1367295348574728194,16201775,78.0,6.0,3.0,463,36,16,4,B1-SCSA_PLUS,2023-08-19
John Wall doing work ➡️ season high 32 points. ? https://t.co/xaYYGxBqMR,1366609467803074561,19077044,78.0,7.0,3.0,336,40,21,6,B1-SCSA_PLUS,2023-08-19
"Pregame pump.

? 4:30PM/pt | ? @FoxSportsWest https://t.co/Hhyb4HfjBy",1366894541475696640,19564719,78.0,8.0,1.0,255,16,9,2,B1-SCSA_PLUS,2023-08-19
Here's #Pistons Playback presented by @flagstar with the highlights from last night's 129-105 win over the Toronto Raptors. https://t.co/GPUkhzJcZF,1367486237574123525,16727749,78.0,9.0,3.0,59,10,4,2,B1-SCSA_PLUS,2023-08-19
