id,item_id,user_who_published,user_id,ranking,rating,algorithm
19,1369468594891948038,28785486,5,3,3,CS
19,1369336610681159680,5988062,5,4,5,CS
19,1369503478880612357,759251,5,5,5,CS
19,1369611245616250880,87818409,5,6,5,CS
19,1369430816389033988,14293310,5,7,5,CS
19,1368685627303223297,1367531,5,8,3,CS
19,1369377514930507782,28785486,5,9,5,CS
19,1369438777127624709,87818409,5,10,4,CS
16,1369375444793954323,807095,5,1,5,SC
16,1362776603047165957,621583,5,2,5,SC
16,1369441796925886465,807095,5,3,5,SC
16,1369400194513723396,807095,5,4,5,SC
16,1369048387815899139,14293310,5,5,4,SC
16,1369355243406954501,807095,5,6,5,SC
16,1362074171832958980,11856342,5,7,3,SC
16,1369614175048249346,25562270,5,8,4,SC
16,1359577321695547392,11856342,5,9,1,SC
16,1362085735063572482,11856342,5,10,1,SC
18,1369292125641269258,46403451,5,1,3,SCSA
18,1369458171467591683,1344951,5,2,4,SCSA
18,1365007905318133766,11856342,5,3,2,SCSA
18,1361388306106318857,368276033,5,4,2,SCSA
18,1361701236395958278,368276033,5,5,2,SCSA
18,1366932843067277314,11856342,5,6,2,SCSA
18,1369030160943611907,2557521,5,7,3,SCSA
18,1366709656974942211,368276033,5,8,3,SCSA
18,1364579317964034050,368276033,5,9,3,SCSA
18,1369441382973272064,759251,5,10,4,SCSA
26,1339526482142654466,1038082275689340928,6,1,4,B1
26,1326208392923410432,715177919438577664,6,2,4,B1
26,1356659266732650498,273181052,6,3,3,B1
26,1357425371721965589,273181052,6,4,4,B1
26,1274054340517527552,2412917082,6,5,3,B1
26,1362794394848538628,1288485038,6,6,5,B1
26,1357736029067874305,1288485038,6,7,3,B1
26,1367608643596783616,1232061287301074945,6,8,3,B1
26,1368667864803213318,14800270,6,9,4,B1
26,1368867018854830081,715177919438577664,6,10,5,B1
24,1349775316366090242,79293791,6,1,2,CS
24,1219085119971000320,180463340,6,2,3,CS
24,1339894034781880323,1038082275689340928,6,3,5,CS
24,1368199950169997314,16184358,6,4,5,CS
24,1369559926629167104,34713362,6,5,5,CS
24,1204026434739691520,180463340,6,6,5,CS
24,1369586848163586051,34713362,6,7,2,CS
24,1369418972509179912,15110357,6,8,3,CS
24,1340053176150614025,1038082275689340928,6,9,4,CS
24,1197158580333535232,180463340,6,10,4,CS
21,1344689933978656771,1060978099146260480,6,1,4,SC
21,1369311531360518146,2735591,6,2,5,SC
21,1362083047785439239,34507480,6,3,4,SC
21,1337020338916499463,17919972,6,4,2,SC
21,1369405604595400711,2735591,6,5,5,SC
21,1331748997124534274,17919972,6,6,4,SC
21,1369298875719311360,2735591,6,7,5,SC
21,1355167587638906880,23375688,6,8,3,SC
21,1317842770816602114,715177919438577664,6,9,5,SC
21,1294010972055592962,79293791,6,10,3,SC
23,1337022746824499203,17919972,6,1,2,SCSA
23,1353502767352926208,23375688,6,2,3,SCSA
23,1351920546011893761,14230524,6,3,2,SCSA
23,1365416645624143873,14230524,6,4,3,SCSA
23,1354118501653483523,273181052,6,5,5,SCSA
23,1337463904566456320,17919972,6,6,2,SCSA
23,1331744604891344896,17919972,6,7,2,SCSA
23,1339525827118194689,1038082275689340928,6,8,5,SCSA
23,1357375687967997959,25365536,6,9,1,SCSA
23,1358843515149504514,34507480,6,10,3,SCSA
28,1359820217090768896,621583,7,1,4,B1
28,1364974104491798530,14434070,7,2,4,B1
28,969126955193962496,42703075,7,3,3,B1
28,1367244704526393349,14434070,7,4,2,B1
28,1369342862656221187,15808647,7,5,4,B1
28,1363849575279316998,621583,7,6,4,B1
28,1365618942501285888,7905122,7,7,5,B1
28,1365376371376205838,14434070,7,8,4,B1
28,1368972324301602816,25562270,7,9,4,B1
28,1368969473651261440,14885549,7,10,3,B1
27,1369087867939659782,24742040,7,1,3,CS
27,1368234120082554894,773069256,7,2,2,CS
27,1368487188724350976,558797310,7,3,2,CS
27,1367862841907294209,34613288,7,4,4,CS
27,1368174374247923712,34613288,7,5,3,CS
27,1368501683219693570,34613288,7,6,3,CS
27,1368632782042333188,96951800,7,7,4,CS
27,1364237278516830212,14434070,7,8,5,CS
27,1368519774955798529,773069256,7,9,4,CS
27,1368216046616768513,2941994339,7,10,4,CS
22,1368932010971004931,1638021792,7,1,4,SC
22,1369325020258983936,24742040,7,2,3,SC
22,1365315820080009221,821102114,7,3,4,SC
22,1362776603047165957,621583,7,4,4,SC
22,1368909409775149064,96951800,7,5,4,SC
22,1336964656792035329,821102114,7,6,3,SC
22,1367462925250818061,34613288,7,7,5,SC
22,1336810117057179649,821102114,7,8,4,SC
22,1365327872643260420,821102114,7,9,4,SC
22,1337318168277241857,821102114,7,10,3,SC
25,1364607745270423556,821102114,7,1,2,SCSA
25,1337077938076979205,821102114,7,2,2,SCSA
25,1369383214062665731,24742040,7,3,3,SCSA
25,1336793663792406530,821102114,7,4,3,SCSA
25,1369386818169372680,24742040,7,5,5,SCSA
25,1369372321736232963,24742040,7,6,4,SCSA
25,1367882927384768524,10671602,7,7,4,SCSA
25,1363551492486008834,15234657,7,8,3,SCSA
25,1369337343270862853,24742040,7,9,2,SCSA
25,1336596712857743361,821102114,7,10,3,SCSA
121,1368703131652005888,100220864,8,1,5,B1
121,1363548342832218116,314792669,8,2,5,B1
121,1360637255132434433,34507480,8,3,4,B1
121,1359964129532862464,34507480,8,4,4,B1
121,1349748316901310464,14230524,8,5,5,B1
121,1296750375114964992,100220864,8,6,5,B1
121,1337245958787244033,17919972,8,7,5,B1
121,1361140319002103813,21447363,8,8,4,B1
121,1369095591607865347,18228898,8,9,4,B1
121,1363673526096470017,21447363,8,10,4,B1
120,1365178104310763520,100220864,8,1,4,CS
120,1322209256611852294,14230524,8,2,5,CS
120,1318996052049973248,14230524,8,3,4,CS
120,1354658220585922565,17919972,8,4,4,CS
120,1268243264156524544,100220864,8,5,4,CS
120,1363674987626856448,21447363,8,6,3,CS
120,1334706123971162115,26565946,8,7,2,CS
120,1334724211689074688,34507480,8,8,5,CS
120,1290389884927000582,79293791,8,9,5,CS
120,1316909183225286657,79293791,8,10,5,CS
118,1362083047785439239,34507480,8,1,4,SC
118,1337020338916499463,17919972,8,2,4,SC
118,1331748997124534274,17919972,8,3,4,SC
118,1355167587638906880,23375688,8,4,4,SC
118,1294010972055592962,79293791,8,5,4,SC
118,1337021907464499204,17919972,8,6,4,SC
118,1350483251291451392,19373710,8,7,5,SC
118,1337022746824499203,17919972,8,8,4,SC
118,1334726779903168512,14230524,8,9,4,SC
118,1334711453211889665,34507480,8,10,4,SC
119,1353502767352926208,23375688,8,1,4,SCSA
119,1351920546011893761,14230524,8,2,4,SCSA
119,1365416645624143873,14230524,8,3,4,SCSA
119,1337463904566456320,17919972,8,4,4,SCSA
119,1331744604891344896,17919972,8,5,4,SCSA
119,1357375687967997959,25365536,8,6,4,SCSA
119,1358843515149504514,34507480,8,7,4,SCSA
119,1331741612402237443,17919972,8,8,3,SCSA
119,1358843677582401536,34507480,8,9,3,SCSA
119,1290659734639521798,79293791,8,10,5,SCSA
32,1292597118763319296,108361327,9,1,5,B1
32,1362841895030968326,55365711,9,2,1,B1
32,1322221808913928193,18847632,9,3,2,B1
32,1363548342832218116,314792669,9,4,5,B1
32,1322191082235506689,337789021,9,5,4,B1
32,1365001111946420226,15155074,9,6,4,B1
32,1341790679945670656,15155074,9,7,4,B1
32,1322229311718494210,18847632,9,8,2,B1
32,1337774207971684352,2836755090,9,9,5,B1
32,1275492317013479424,110783489,9,10,5,B1
31,1319321276171759617,19373710,9,1,5,CS
31,1263620338790944769,297047872,9,2,4,CS
31,1338573100921794560,15155074,9,3,4,CS
31,1333878541398798338,2836755090,9,4,5,CS
31,1327308553418272768,6207392,9,5,3,CS
31,1312391963241398272,337789021,9,6,4,CS
31,1361732521428275201,20322929,9,7,1,CS
31,1164279406057201665,19028953,9,8,1,CS
31,1351540224560668673,18222378,9,9,3,CS
31,1330972658612150272,238475531,9,10,5,CS
29,1273231711908872193,19028953,9,1,1,SC
29,1350483251291451392,19373710,9,2,5,SC
29,1182112257708306433,19028953,9,3,1,SC
29,1359597695548153864,15155074,9,4,4,SC
29,1364683920965578753,55365711,9,5,1,SC
29,1095067826061262848,19028953,9,6,1,SC
29,1365320876510560258,19114743,9,7,4,SC
29,1338584496489172992,3004231,9,8,3,SC
29,1336059119174897665,15155074,9,9,4,SC
29,1366561763962073092,55365711,9,10,1,SC
30,1362872757109809152,55365711,9,1,1,SCSA
30,1360346403873181707,19114743,9,2,4,SCSA
30,1333873034114064385,19373710,9,3,5,SCSA
30,1366115959623331844,55365711,9,4,1,SCSA
30,1359932980974657536,19373710,9,5,5,SCSA
30,1362069293790162946,15155074,9,6,4,SCSA
30,1364624807220948994,55365711,9,7,1,SCSA
30,1343729046891347968,3004231,9,8,5,SCSA
30,1321455751567532032,19373710,9,9,5,SCSA
30,1347619092417548288,238475531,9,10,5,SCSA
36,1368317364287180801,3001704118,10,1,5,B1
36,1368157353695121412,22910295,10,2,5,B1
36,1369007428696743936,22910295,10,3,5,B1
36,1368241591299760129,2941994339,10,4,5,B1
36,1368173264602869761,452155423,10,5,5,B1
36,1368550065502121985,19583545,10,6,5,B1
36,1369382325633638404,1638021792,10,7,5,B1
36,1368645394348077067,96951800,10,8,5,B1
36,1368982192194519043,22910295,10,9,4,B1
36,1369259792892633089,96951800,10,10,5,B1
35,1320726746329743363,113696373,10,1,5,CS
35,1351594764056088577,29758446,10,2,5,CS
35,1365731424322478084,10671602,10,3,5,CS
35,1337102280059834370,821102114,10,4,4,CS
35,1368234120082554894,773069256,10,5,5,CS
35,1369087867939659782,24742040,10,6,5,CS
35,1352017720578105346,821102114,10,7,4,CS
35,1350865539091066881,252882791,10,8,5,CS
35,1367862841907294209,34613288,10,9,4,CS
35,1330948472992776193,612782611,10,10,5,CS
33,1368932010971004931,1638021792,10,1,5,SC
33,1369325020258983936,24742040,10,2,4,SC
33,1365315820080009221,821102114,10,3,4,SC
33,1368909409775149064,96951800,10,4,5,SC
33,1350483251291451392,19373710,10,5,5,SC
33,1336964656792035329,821102114,10,6,4,SC
33,1367462925250818061,34613288,10,7,4,SC
33,1336810117057179649,821102114,10,8,4,SC
33,1365327872643260420,821102114,10,9,3,SC
33,1337318168277241857,821102114,10,10,3,SC
34,1364607745270423556,821102114,10,1,3,SCSA
34,1337077938076979205,821102114,10,2,3,SCSA
34,1369383214062665731,24742040,10,3,4,SCSA
34,1336793663792406530,821102114,10,4,3,SCSA
34,1369386818169372680,24742040,10,5,4,SCSA
34,1369372321736232963,24742040,10,6,4,SCSA
34,1367882927384768524,10671602,10,7,5,SCSA
34,1363551492486008834,15234657,10,8,4,SCSA
34,1369337343270862853,24742040,10,9,4,SCSA
34,1336596712857743361,821102114,10,10,3,SCSA
300,1360638198573981696,79293791,11,1,1,B1
40,1269640838205902849,297047872,11,1,3,B1
272,1366709249137643523,314792669,11,1,5,B1
300,1367946423736537089,100220864,11,2,1,B1
40,1363548342832218116,314792669,11,2,2,B1
272,1327659608903733249,95955871,11,2,5,B1
40,1368703131652005888,100220864,11,3,2,B1
300,1363548342832218116,314792669,11,3,5,B1
272,1292597118763319296,108361327,11,3,5,B1
300,1338944728969035776,34507480,11,4,1,B1
40,1366208806535892995,21447363,11,4,5,B1
272,1364598637163126785,2836755090,11,4,5,B1
300,1345405481628684289,18645813,11,5,1,B1
40,1354547483083329538,26565946,11,5,2,B1
272,1327687747117740035,238475531,11,5,5,B1
300,1333406580927303682,21001379,11,6,1,B1
40,1359185296382779393,18228898,11,6,2,B1
272,1363926533652574218,238475531,11,6,5,B1
300,1365207153359917058,18776605,11,7,1,B1
272,1324713186436796417,118483749,11,7,5,B1
40,1353719280022343683,337789021,11,7,5,B1
272,1360341869478223872,19114743,11,8,5,B1
40,1309555054295355394,95955871,11,8,5,B1
300,1341035699970011136,2836755090,11,8,5,B1
40,1360046105170485249,34507480,11,9,3,B1
272,1316844403797889024,238475531,11,9,5,B1
300,1310618458925740032,18645813,11,9,5,B1
300,1366833859829108738,100220864,11,10,5,B1
40,1330164072227094528,337789021,11,10,5,B1
272,1351669168987226112,236956880,11,10,5,B1
299,1334706123971162115,26565946,11,1,1,CS
271,1334601400836354048,15155074,11,1,5,CS
39,1347589799947984902,18847632,11,1,5,CS
299,1334724211689074688,34507480,11,2,1,CS
271,1319321276171759617,19373710,11,2,5,CS
39,1333492114408296449,15155074,11,2,5,CS
299,1358058477785120769,79293791,11,3,1,CS
39,1363238923879653379,55010030,11,3,5,CS
271,1263620338790944769,297047872,11,3,5,CS
299,1086268959492468742,202222127,11,4,5,CS
39,1316501262704144384,19373710,11,4,5,CS
271,1362769948691472385,236956880,11,4,5,CS
299,1354658220585922565,17919972,11,5,1,CS
271,1327642451427864577,238475531,11,5,5,CS
39,1330692631551234050,95955871,11,5,5,CS
299,1367500382717546499,23976386,11,6,5,CS
271,1364533279261679619,118483749,11,6,5,CS
39,1349370619616378880,2836755090,11,6,5,CS
299,1316909183225286657,79293791,11,7,5,CS
271,1361376289475682307,621583,11,7,5,CS
39,1319686215642214401,19373710,11,7,5,CS
299,1290389884927000582,79293791,11,8,5,CS
271,1238490684384071686,297047872,11,8,5,CS
39,1352347607855726594,95955871,11,8,5,CS
299,1315698359718551552,18645813,11,9,5,CS
39,1336325009367678977,2836755090,11,9,5,CS
271,1304866700794363905,6207392,11,9,5,CS
39,1310693744056950787,95955871,11,10,5,CS
299,1359547910619344904,25365536,11,10,5,CS
271,1334534887664209922,2836755090,11,10,5,CS
297,1366167129754537984,17019152,11,1,1,SC
269,1362776603047165957,621583,11,1,3,SC
37,1362083047785439239,34507480,11,1,5,SC
297,1365113385658970113,155705264,11,2,1,SC
269,1350483251291451392,19373710,11,2,5,SC
37,1337020338916499463,17919972,11,2,5,SC
37,1331748997124534274,17919972,11,3,3,SC
297,1362083047785439239,34507480,11,3,5,SC
269,1359597695548153864,15155074,11,3,5,SC
297,1337020338916499463,17919972,11,4,3,SC
37,1355167587638906880,23375688,11,4,3,SC
269,1365320876510560258,19114743,11,4,5,SC
297,1331748997124534274,17919972,11,5,1,SC
37,1294010972055592962,79293791,11,5,4,SC
269,1369614175048249346,25562270,11,5,5,SC
37,1337021907464499204,17919972,11,6,5,SC
297,1355167587638906880,23375688,11,6,5,SC
269,1336059119174897665,15155074,11,6,5,SC
37,1350483251291451392,19373710,11,7,5,SC
297,1294010972055592962,79293791,11,7,5,SC
269,1342062601535164416,18847632,11,7,5,SC
37,1337022746824499203,17919972,11,8,5,SC
269,1240464261366919171,89366493,11,8,5,SC
297,1337021907464499204,17919972,11,8,5,SC
269,1359932980974657536,19373710,11,9,5,SC
37,1334726779903168512,14230524,11,9,5,SC
297,1350483251291451392,19373710,11,9,5,SC
37,1334711453211889665,34507480,11,10,3,SC
269,1369042864316026881,15808647,11,10,5,SC
297,1337022746824499203,17919972,11,10,5,SC
38,1353502767352926208,23375688,11,1,2,SCSA
270,1360346403873181707,19114743,11,1,3,SCSA
298,1354565152939544576,155705264,11,1,4,SCSA
38,1351920546011893761,14230524,11,2,4,SCSA
298,1353502767352926208,23375688,11,2,4,SCSA
270,1369458171467591683,1344951,11,2,4,SCSA
298,1351920546011893761,14230524,11,3,2,SCSA
270,1333873034114064385,19373710,11,3,3,SCSA
38,1365416645624143873,14230524,11,3,5,SCSA
298,1365416645624143873,14230524,11,4,2,SCSA
38,1337463904566456320,17919972,11,4,5,SCSA
270,1362069293790162946,15155074,11,4,5,SCSA
38,1331744604891344896,17919972,11,5,2,SCSA
298,1337463904566456320,17919972,11,5,4,SCSA
270,1321455751567532032,19373710,11,5,5,SCSA
38,1357375687967997959,25365536,11,6,5,SCSA
270,1347619092417548288,238475531,11,6,5,SCSA
298,1331744604891344896,17919972,11,6,5,SCSA
38,1358843515149504514,34507480,11,7,2,SCSA
270,1368622654870192131,15808647,11,7,4,SCSA
298,1357375687967997959,25365536,11,7,5,SCSA
38,1331741612402237443,17919972,11,8,2,SCSA
298,1358843515149504514,34507480,11,8,3,SCSA
270,1369226601972563972,15808647,11,8,4,SCSA
38,1358843677582401536,34507480,11,9,2,SCSA
298,1331741612402237443,17919972,11,9,4,SCSA
270,1320142365038817281,19373710,11,9,5,SCSA
38,1290659734639521798,79293791,11,10,3,SCSA
298,1358843677582401536,34507480,11,10,4,SCSA
270,1338592930022363139,22720074,11,10,5,SCSA
320,1365155419564351490,250887629,12,1,5,B1
320,1361396964227772419,2559865245,12,2,5,B1
320,1272637078401097731,291428614,12,3,5,B1
320,1321919226341306368,517077573,12,4,5,B1
320,1364415183607586825,35999306,12,5,2,B1
320,1365372438578667526,214201922,12,6,2,B1
320,1359318229735251977,43815496,12,7,3,B1
320,1366804263385501696,19604744,12,8,5,B1
320,1343974143646044160,310072711,12,9,5,B1
320,1339746480014254081,310072711,12,10,5,B1
318,1370069387974119426,43815496,12,1,5,CS
318,1366121589478154243,77596200,12,2,5,CS
318,1359370632350208003,43815496,12,3,2,CS
318,1358529006967033856,43815496,12,4,3,CS
318,1359319030587293696,43815496,12,5,3,CS
318,1331282297014743042,517077573,12,6,5,CS
318,1369832253816246274,77596200,12,7,5,CS
318,1366380504736534529,77596200,12,8,3,CS
318,1336435104172765184,26389359,12,9,3,CS
318,1344852533122981888,517077573,12,10,5,CS
313,1349749578095075328,35999306,12,1,5,SC
313,1361511252103729153,214201922,12,2,5,SC
313,1361857937518465025,19604744,12,3,5,SC
313,1361586402484514816,214201922,12,4,2,SC
313,1361853779025403905,19604744,12,5,2,SC
313,1365037827298238464,234270825,12,6,2,SC
313,1301164188136431616,517077573,12,7,5,SC
313,1366910062711685124,24008967,12,8,5,SC
313,1365109273240473600,214201922,12,9,3,SC
313,1366197120064192513,24008967,12,10,5,SC
316,1334873913210380298,3339261074,12,1,5,SCSA
316,1360286991011639302,43815496,12,2,5,SCSA
316,1354807067232489475,3339261074,12,3,5,SCSA
316,1367532398825648130,58560480,12,4,5,SCSA
316,1356255352145272832,3339261074,12,5,5,SCSA
316,1326033569555181568,772493970,12,6,2,SCSA
316,1365812811721543685,24008967,12,7,3,SCSA
316,1365784358217523201,24008967,12,8,3,SCSA
316,1365811680815554560,24008967,12,9,3,SCSA
316,1334130051554668547,58560480,12,10,5,SCSA
57,1285952748484083712,14464766,13,1,1,B1
57,1312476369830338561,1141417774201184257,13,2,4,B1
57,1354081977062850561,29758446,13,3,3,B1
57,1362949278365143050,155705264,13,4,1,B1
57,1365346314956005378,15234657,13,5,2,B1
57,1336808991792525325,821102114,13,6,2,B1
57,1337102429532217345,612782611,13,7,4,B1
57,1357343495132880897,29758446,13,8,2,B1
57,1327673915829866501,252882791,13,9,4,B1
57,1369324832702296067,816653,13,10,2,B1
53,1365731424322478084,10671602,13,1,5,CS
53,1352017720578105346,821102114,13,2,1,CS
53,1350865539091066881,252882791,13,3,3,CS
53,1363172378843389952,331908924,13,4,2,CS
53,1358898413136396288,331908924,13,5,4,CS
53,1351594764056088577,29758446,13,6,3,CS
53,1369087867939659782,24742040,13,7,3,CS
53,1337104278398382087,821102114,13,8,5,CS
53,1362902698585071617,331908924,13,9,5,CS
53,1330948472992776193,612782611,13,10,5,CS
42,1366167129754537984,17019152,13,1,2,SC
42,1369325020258983936,24742040,13,2,4,SC
42,1365315820080009221,821102114,13,3,4,SC
42,1365113385658970113,155705264,13,4,1,SC
42,1362776603047165957,621583,13,5,2,SC
42,1336964656792035329,821102114,13,6,1,SC
42,1336810117057179649,821102114,13,7,4,SC
42,1365327872643260420,821102114,13,8,1,SC
42,1337318168277241857,821102114,13,9,1,SC
42,1363551492486008834,15234657,13,10,1,SC
47,1364607745270423556,821102114,13,1,4,SCSA
